USPS|GEOID|GEOIDFQ|ANSICODE|NAME|LSAD|FUNCSTAT|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
MO|2913390|1600000US2913390|02748236|Charmwood town|43|A|361802|0|0.14|0.|38.281138|-91.096881
MO|2913474|1600000US2913474|02587058|Cherokee Pass CDP|57|S|5393683|27216|2.083|0.011|37.48753|-90.294951
MO|2913582|1600000US2913582|02587059|Chesapeake CDP|57|S|1153386|3437|0.445|0.001|37.114809|-93.678794
MO|2913600|1600000US2913600|02393821|Chesterfield city|25|A|82389012|4670563|31.811|1.803|38.658126|-90.57595
MO|2913654|1600000US2913654|02396643|Chilhowee town|43|A|933774|877|0.361|0.|38.588586|-93.856195
MO|2913690|1600000US2913690|02393517|Chillicothe city|25|A|19794197|68820|7.643|0.027|39.794761|-93.547397
MO|2913852|1600000US2913852|02393522|Chula city|25|A|460727|0|0.178|0.|39.921944|-93.47757
MO|2913978|1600000US2913978|02393533|Clarence city|25|A|2997800|0|1.157|0.|39.743181|-92.260136
MO|2914068|1600000US2914068|02393537|Clark city|25|A|1557435|0|0.601|0.|39.279675|-92.359534
MO|2914140|1600000US2914140|02393540|Clarksburg city|25|A|1494550|7606|0.577|0.003|38.66132|-92.666496
MO|2914158|1600000US2914158|02393541|Clarksdale city|25|A|838769|0|0.324|0.|39.813849|-94.550768
MO|2914176|1600000US2914176|02393543|Clarkson Valley city|25|A|6976681|104332|2.694|0.04|38.625344|-90.592981
MO|2914194|1600000US2914194|02393545|Clarksville city|25|A|1505361|932958|0.581|0.36|39.369502|-90.904896
MO|2914212|1600000US2914212|02393546|Clarkton city|25|A|2925104|0|1.129|0.|36.452045|-89.968088
MO|2914554|1600000US2914554|02397638|Claycomo village|47|A|6736207|0|2.601|0.|39.198621|-94.478833
MO|2914572|1600000US2914572|02393548|Clayton city|25|A|6497620|0|2.509|0.|38.644403|-90.330212
MO|2914662|1600000US2914662|02393553|Clearmont city|25|A|424554|0|0.164|0.|40.507995|-95.032591
MO|2914770|1600000US2914770|02393561|Cleveland city|25|A|3856786|48818|1.489|0.019|38.677801|-94.600002
MO|2914788|1600000US2914788|02393562|Clever city|25|A|4217226|1432|1.628|0.001|37.031478|-93.470857
MO|2914806|1600000US2914806|02397646|Cliff Village village|47|A|104163|0|0.04|0.|37.025142|-94.517195
MO|2914896|1600000US2914896|02393564|Clifton Hill city|25|A|452625|0|0.175|0.|39.438619|-92.663681
MO|2914914|1600000US2914914|02784076|Climax Springs CDP|57|S|2088908|0|0.807|0.|38.100402|-93.052807
MO|2914986|1600000US2914986|02393570|Clinton city|25|A|23618138|290807|9.119|0.112|38.371172|-93.768142
MO|2915130|1600000US2915130|02398585|Clyde village|47|A|437053|0|0.169|0.|40.26621|-94.669598
MO|2915220|1600000US2915220|02398592|Cobalt village|47|A|385260|846|0.149|0.|37.545119|-90.286929
MO|2915274|1600000US2915274|02393584|Coffey city|25|A|539447|0|0.208|0.|40.105548|-94.006538
MO|2915436|1600000US2915436|02393592|Cole Camp city|25|A|3371275|3058|1.302|0.001|38.459643|-93.202099
MO|2915562|1600000US2915562|02398600|Collins village|47|A|639234|0|0.247|0.|37.889607|-93.621824
MO|2915670|1600000US2915670|02393605|Columbia city|25|A|175695765|708737|67.837|0.274|38.94729|-92.326387
MO|2915760|1600000US2915760|02398607|Commerce village|47|A|896123|522|0.346|0.|37.160012|-89.446952
MO|2915886|1600000US2915886|02587060|Conception CDP|57|S|1941542|26931|0.75|0.01|40.238845|-94.680901
MO|2915922|1600000US2915922|02396659|Conception Junction town|43|A|819135|0|0.316|0.|40.268351|-94.69136
MO|2916030|1600000US2916030|02393386|Concord CDP|57|S|14233767|7154|5.496|0.003|38.511705|-90.350891
MO|2916102|1600000US2916102|02393617|Concordia city|25|A|4753666|17721|1.835|0.007|38.987513|-93.569227
MO|2916115|1600000US2916115|02398615|Coney Island village|47|A|165827|0|0.064|0.|36.59321|-93.397142
MO|2916138|1600000US2916138|02804677|Connelsville CDP|57|S|858151|0|0.331|0.|40.277831|-92.701778
MO|2916192|1600000US2916192|02393623|Conway city|25|A|4722790|29473|1.823|0.011|37.506792|-92.831003
MO|2916228|1600000US2916228|02393626|Cool Valley city|25|A|1187470|0|0.458|0.|38.72503|-90.305826
MO|2916336|1600000US2916336|02393630|Cooter city|25|A|764761|0|0.295|0.|36.046694|-89.80917
MO|2916408|1600000US2916408|02393635|Corder city|25|A|921740|0|0.356|0.|39.099195|-93.638931
MO|2916462|1600000US2916462|02396661|Corning town|43|A|283863|0|0.11|0.|40.248604|-95.454498
MO|2916588|1600000US2916588|02398633|Cosby village|47|A|243576|0|0.094|0.|39.863839|-94.679819
MO|2916678|1600000US2916678|02393646|Cottleville city|25|A|12281476|0|4.742|0.|38.751581|-90.6578
MO|2916802|1600000US2916802|02398636|Country Club village|47|A|10116317|70616|3.906|0.027|39.846744|-94.823879
MO|2916822|1600000US2916822|02393652|Country Club Hills city|25|A|482937|0|0.186|0.|38.720869|-90.275071
MO|2916876|1600000US2916876|02398637|Country Life Acres village|47|A|321441|0|0.124|0.|38.622244|-90.455384
MO|2916984|1600000US2916984|02393657|Cowgill city|25|A|619165|1905|0.239|0.001|39.560787|-93.926245
MO|2917056|1600000US2917056|02393661|Craig city|25|A|672110|0|0.26|0.|40.192383|-95.374257
MO|2917074|1600000US2917074|02393662|Crane city|25|A|4377488|7984|1.69|0.003|36.901264|-93.570115
